CAS,PARAMETER (IT),CHEMICAL SUBSTANCE
479-61-8,"Clorofilla ""a""","Magnesium, [(2E,7R,11R)-3,7,11,15-tetramethyl-2-hexadecenyl (3S,4S,21R)-9-ethenyl-14-ethyl-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoato(2-)-.kappa.N23,.kappa.N24,.kappa.N25,.kappa.N26]-, (SP-4-2)-"
7440-38-2,Arsenico,Arsenic
7440-43-9,Cadmio,Cadmium
7440-70-2,Calcio,Calcium
7440-47-3,Cromo totale,Chromium
7723-14-0,Fosforo Totale,Phosphorus
7439-95-4,Magnesio,Magnesium
7439-97-6,Mercurio,Mercury
7440-02-0,Nichel,Nickel
14265-44-2,Ortofosfato,Phosphate
7782-44-7,Ossigeno disciolto,Oxygen
7439-92-1,Piombo,Lead
7440-09-7,Potassio,Potassium
7440-50-8,Rame,Copper
1344-09-8,Silicati reattivi,"Silicic acid, sodium salt"
7440-23-5,Sodio,Sodium
7440-66-6,Zinco,Zinc
50-29-3,"p,p'-DDT","Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro-"
50-32-8,Benzo (a) pirene,Benzo[a]pyrene
51-28-5,"2,4-Dinitrofenolo","Phenol, 2,4-dinitro-"
53-16-7,Estrone,"Estra-1,3,5(10)-trien-17-one, 3-hydroxy-"
53-70-3,"Dibenzo(a,h)antracene","Dibenz[a,h]anthracene"
56-23-5,Tetracloruro di carbonio,"Methane, tetrachloro-"
56-55-3,Benzo(a)antracene,Benz[a]anthracene
57-12-5,Cianuri liberi,Cyanide
57-63-6,17-alfa-etinilestradiolo,"19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol, (17.alpha.)-"
58-89-9,HCH gamma (lindano),"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-"
59-50-7,4-Cloro-3-metilfenolo,"Phenol, 4-chloro-3-methyl-"
60-51-5,Dimetoato,"Phosphorodithioic acid, O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] ester"
62-53-3,Anilina,Benzenamine
62-73-7,Diclorvos,"Phosphoric acid, 2,2-dichloroethenyl dimethyl ester"
67-66-3,Triclorometano,"Methane, trichloro-"
71-43-2,Benzene,Benzene
71-55-6,"Tricloroetano 1,1,1","Ethane, 1,1,1-trichloro-"
75-01-4,Cloruro di Vinile,"Ethene, chloro-"
75-09-2,Diclorometano,"Methane, dichloro-"
75-25-2,Tribromometano,"Methane, tribromo-"
75-27-4,Bromodiclorometano,"Methane, bromodichloro-"
75-34-3,"Dicloroetano 1,1","Ethane, 1,1-dichloro-"
75-35-4,"1,1-Dicloroetilene","Ethene, 1,1-dichloro-"
78-87-5,"1,2-dicloropropano","Propane, 1,2-dichloro-"
79-00-5,"Tricloroetano 1,1,2","Ethane, 1,1,2-trichloro-"
79-01-6,Tricloroetilene,"Ethene, 1,1,2-trichloro-"
79-34-5,"Tetracloroetano 1,1,2,2","Ethane, 1,1,2,2-tetrachloro-"
80-05-7,Bisfenolo A,"Phenol, 4,4'-(1-methylethylidene)bis-"
134-32-7,1-Naftilammina,1-Naphthalenamine
375-22-4,PFBA (Perfluoro Butanoic Acid),"Butanoic acid, 2,2,3,3,4,4,4-heptafluoro-"
375-73-5,PFBS (Perfluoro Butane Sulfonate),"1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-"
375-85-9,PFHpA (Perfluoro Heptanoic Acid),"Heptanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-"
83-32-9,Acenaftene,"Acenaphthylene, 1,2-dihydro-"
84-66-2,Dietil-Ftalato (DEP),"1,2-Benzenedicarboxylic acid, 1,2-diethyl ester"
84-69-5,Bis(2-metilpropil)ftalato,"1,2-Benzenedicarboxylic acid, 1,2-bis(2-methylpropyl) ester"
84-74-2,Dibutil-ftalato,"1,2-Benzenedicarboxylic acid, 1,2-dibutyl ester"
85-01-8,Fenantrene,Phenanthrene
85-68-7,Benzil-butil-ftalato,"1,2-Benzenedicarboxylic acid, 1-butyl 2-(phenylmethyl) ester"
86-73-7,Fluorene,9H-Fluorene
87-61-6,"1,2,3-Triclorobenzene","Benzene, 1,2,3-trichloro-"
87-68-3,Esaclorobutadiene,"1,3-Butadiene, 1,1,2,3,4,4-hexachloro-"
87-86-5,Pentaclorofenolo,"Phenol, 2,3,4,5,6-pentachloro-"
88-06-2,"2,4,6-Triclorofenolo","Phenol, 2,4,6-trichloro-"
88-73-3,1-Cloro-2-nitrobenzene,"Benzene, 1-chloro-2-nitro-"
88-75-5,2-Nitrofenolo,"Phenol, 2-nitro-"
89-63-4,4-cloro-2-nitroanilina,"Benzenamine, 4-chloro-2-nitro-"
91-20-3,Naftalene,Naphthalene
93-65-2,Mecoprop,"Propanoic acid, 2-(4-chloro-2-methylphenoxy)-"
93-76-5,"2,4,5-T","Acetic acid, 2-(2,4,5-trichlorophenoxy)-"
94-74-6,"(MCPA) Acido 2,4 meticlorofenossi acetico","Acetic acid, 2-(4-chloro-2-methylphenoxy)-"
94-74-6,"(MCPA) Acido 2,4 meticlorofenossi acetico","Acetic acid, 2-(4-chloro-2-methylphenoxy)-"
94-75-7,"Acido 2,4 diclorofenossi acetico (2,4 D)","Acetic acid, 2-(2,4-dichlorophenoxy)-"
95-47-6,Xilene orto,"Benzene, 1,2-dimethyl-"
95-49-8,2-Clorotoluene,"Benzene, 1-chloro-2-methyl-"
